slug,headline,full_description
natural,Mostly Natural,"You dress with ease and honesty. Soft, breathable fabrics like cotton, linen or denim likely make up much of your everyday wardrobe. You lean towards relaxed shapes, earthy tones and unfussy pieces that feel authentic. You might like to explore practical layering, pieces that move with your lifestyle, and subtle accessories like a leather band or your go to ring. Tip: Prioritise comfort and wearability. You do not need to try hard to look and feel great."
classic,Mostly Classic,"You value polish, structure and timelessness. Tailored trousers, crisp shirts and well made knits form a reliable core. Your palette often includes navy, cream, grey and black. Jewellery is understated and coordinated, such as pearls, gold studs or a sleek watch. You might like to invest in quality fabrics like wool, silk or cotton blends. Tip: Keep your core wardrobe sharp and timeless, then add interest with fine textures or subtle stripes."
bold,Mostly Bold,"You are confident and expressive. You thrive on making a statement with strong colour, sculptural shapes or standout accessories. Red, cobalt and high contrast black and white often energise you. Sharp tailoring and deliberate details help you feel powerful. You might like to try a statement earring or striking shoe to anchor a look. Tip: Lean into visibility and dress with intent. Your presence carries bold pieces well."
creative,Mostly Creative,"You treat style as play and expression. You mix eras, patterns and textures to create outfits that feel alive. Vintage finds, handmade jewellery and unexpected colour pairings all appeal to your curiosity. You might like to experiment with asymmetry, layered pieces and interesting proportions. Tip: Trust your eye and follow your curiosity. Your wardrobe is your canvas."
rebellious,Mostly Rebellious,"You are defiant and independent. Your style carries edge and attitude through darker tones and industrial textures. Leather, black denim, studs and strong boots may be signatures. You might like to balance your edge with simple base pieces that let statement items stand out. Tip: Use fashion to underline your individuality. You do not need to follow rules to look great."
romantic,Mostly Romantic,"You are feminine, warm and expressive. You love clothes that feel graceful and pretty. Pastels, soft neutrals and a touch of shimmer sit well in your palette. Fabrics like silk, lace and delicate knits help you feel lovely. Jewellery can be dainty, sparkly or pearl based. Tip: Honour your gentle strength with flowing shapes and details that feel special to you."
natural-classic,"You're mostly Natural, with some Classic.","You dress with ease and honesty. Soft, breathable fabrics like cotton, linen or denim likely make up much of your everyday wardrobe. You lean towards relaxed shapes, earthy tones and unfussy pieces that feel authentic. You might like to explore practical layering, pieces that move with your lifestyle, and subtle accessories like a leather band or your go to ring. Tip: Prioritise comfort and wearability. You do not need to try hard to look and feel great. You also show elements of Classic: You value polish, structure and timelessness. Tailored trousers, crisp shirts and well made knits form a reliable core. Your palette often includes navy, cream, grey and black. Jewellery is understated and coordinated, such as pearls, gold studs or a sleek watch. You might like to invest in quality fabrics like wool, silk or cotton blends. Tip: Keep your core wardrobe sharp and timeless, then add interest with fine textures or subtle stripes."
natural-bold,"You're mostly Natural, with some Bold.","You dress with ease and honesty. Soft, breathable fabrics like cotton, linen or denim likely make up much of your everyday wardrobe. You lean towards relaxed shapes, earthy tones and unfussy pieces that feel authentic. You might like to explore practical layering, pieces that move with your lifestyle, and subtle accessories like a leather band or your go to ring. Tip: Prioritise comfort and wearability. You do not need to try hard to look and feel great. You also show elements of Bold: You are confident and expressive. You thrive on making a statement with strong colour, sculptural shapes or standout accessories. Red, cobalt and high contrast black and white often energise you. Sharp tailoring and deliberate details help you feel powerful. You might like to try a statement earring or striking shoe to anchor a look. Tip: Lean into visibility and dress with intent. Your presence carries bold pieces well."
natural-creative,"You're mostly Natural, with some Creative.","You dress with ease and honesty. Soft, breathable fabrics like cotton, linen or denim likely make up much of your everyday wardrobe. You lean towards relaxed shapes, earthy tones and unfussy pieces that feel authentic. You might like to explore practical layering, pieces that move with your lifestyle, and subtle accessories like a leather band or your go to ring. Tip: Prioritise comfort and wearability. You do not need to try hard to look and feel great. You also show elements of Creative: You treat style as play and expression. You mix eras, patterns and textures to create outfits that feel alive. Vintage finds, handmade jewellery and unexpected colour pairings all appeal to your curiosity. You might like to experiment with asymmetry, layered pieces and interesting proportions. Tip: Trust your eye and follow your curiosity. Your wardrobe is your canvas."
natural-rebellious,"You're mostly Natural, with some Rebellious.","You dress with ease and honesty. Soft, breathable fabrics like cotton, linen or denim likely make up much of your everyday wardrobe. You lean towards relaxed shapes, earthy tones and unfussy pieces that feel authentic. You might like to explore practical layering, pieces that move with your lifestyle, and subtle accessories like a leather band or your go to ring. Tip: Prioritise comfort and wearability. You do not need to try hard to look and feel great. You also show elements of Rebellious: You are defiant and independent. Your style carries edge and attitude through darker tones and industrial textures. Leather, black denim, studs and strong boots may be signatures. You might like to balance your edge with simple base pieces that let statement items stand out. Tip: Use fashion to underline your individuality. You do not need to follow rules to look great."
natural-romantic,"You're mostly Natural, with some Romantic.","You dress with ease and honesty. Soft, breathable fabrics like cotton, linen or denim likely make up much of your everyday wardrobe. You lean towards relaxed shapes, earthy tones and unfussy pieces that feel authentic. You might like to explore practical layering, pieces that move with your lifestyle, and subtle accessories like a leather band or your go to ring. Tip: Prioritise comfort and wearability. You do not need to try hard to look and feel great. You also show elements of Romantic: You are feminine, warm and expressive. You love clothes that feel graceful and pretty. Pastels, soft neutrals and a touch of shimmer sit well in your palette. Fabrics like silk, lace and delicate knits help you feel lovely. Jewellery can be dainty, sparkly or pearl based. Tip: Honour your gentle strength with flowing shapes and details that feel special to you."
classic-natural,"You're mostly Classic, with some Natural.","You value polish, structure and timelessness. Tailored trousers, crisp shirts and well made knits form a reliable core. Your palette often includes navy, cream, grey and black. Jewellery is understated and coordinated, such as pearls, gold studs or a sleek watch. You might like to invest in quality fabrics like wool, silk or cotton blends. Tip: Keep your core wardrobe sharp and timeless, then add interest with fine textures or subtle stripes. You also show elements of Natural: You dress with ease and honesty. Soft, breathable fabrics like cotton, linen or denim likely make up much of your everyday wardrobe. You lean towards relaxed shapes, earthy tones and unfussy pieces that feel authentic. You might like to explore practical layering, pieces that move with your lifestyle, and subtle accessories like a leather band or your go to ring. Tip: Prioritise comfort and wearability. You do not need to try hard to look and feel great."
classic-bold,"You're mostly Classic, with some Bold.","You value polish, structure and timelessness. Tailored trousers, crisp shirts and well made knits form a reliable core. Your palette often includes navy, cream, grey and black. Jewellery is understated and coordinated, such as pearls, gold studs or a sleek watch. You might like to invest in quality fabrics like wool, silk or cotton blends. Tip: Keep your core wardrobe sharp and timeless, then add interest with fine textures or subtle stripes. You also show elements of Bold: You are confident and expressive. You thrive on making a statement with strong colour, sculptural shapes or standout accessories. Red, cobalt and high contrast black and white often energise you. Sharp tailoring and deliberate details help you feel powerful. You might like to try a statement earring or striking shoe to anchor a look. Tip: Lean into visibility and dress with intent. Your presence carries bold pieces well."
classic-creative,"You're mostly Classic, with some Creative.","You value polish, structure and timelessness. Tailored trousers, crisp shirts and well made knits form a reliable core. Your palette often includes navy, cream, grey and black. Jewellery is understated and coordinated, such as pearls, gold studs or a sleek watch. You might like to invest in quality fabrics like wool, silk or cotton blends. Tip: Keep your core wardrobe sharp and timeless, then add interest with fine textures or subtle stripes. You also show elements of Creative: You treat style as play and expression. You mix eras, patterns and textures to create outfits that feel alive. Vintage finds, handmade jewellery and unexpected colour pairings all appeal to your curiosity. You might like to experiment with asymmetry, layered pieces and interesting proportions. Tip: Trust your eye and follow your curiosity. Your wardrobe is your canvas."
classic-rebellious,"You're mostly Classic, with some Rebellious.","You value polish, structure and timelessness. Tailored trousers, crisp shirts and well made knits form a reliable core. Your palette often includes navy, cream, grey and black. Jewellery is understated and coordinated, such as pearls, gold studs or a sleek watch. You might like to invest in quality fabrics like wool, silk or cotton blends. Tip: Keep your core wardrobe sharp and timeless, then add interest with fine textures or subtle stripes. You also show elements of Rebellious: You are defiant and independent. Your style carries edge and attitude through darker tones and industrial textures. Leather, black denim, studs and strong boots may be signatures. You might like to balance your edge with simple base pieces that let statement items stand out. Tip: Use fashion to underline your individuality. You do not need to follow rules to look great."
